n_components,accuracy
638,0.5
640,0.48333333333333334
642,0.5
644,0.5
646,0.43333333333333335
648,0.43333333333333335
650,0.56666666666666665
652,0.5
654,0.5
656,0.55000000000000004
658,0.5
660,0.5
662,0.5
664,0.5
666,0.5
668,0.45000000000000001
670,0.5
672,0.55000000000000004
674,0.5
676,0.5
678,0.5
680,0.5
682,0.5
684,0.6166666666666667
686,0.5
688,0.55000000000000004
690,0.53333333333333333
692,0.5
694,0.6166666666666667
696,0.43333333333333335
698,0.5
700,0.5
702,0.6166666666666667
704,0.5
706,0.56666666666666665
708,0.5
710,0.48333333333333334
712,0.5
714,0.5
716,0.5
718,0.5
720,0.46666666666666667
722,0.46666666666666667
724,0.56666666666666665
726,0.5
728,0.46666666666666667
730,0.53333333333333333
732,0.55000000000000004
734,0.55000000000000004
736,0.5
738,0.5
740,0.55000000000000004
742,0.5
744,0.36666666666666664
746,0.36666666666666664
748,0.5
750,0.40000000000000002
752,0.5
754,0.53333333333333333
756,0.41666666666666669
758,0.5
760,0.46666666666666667
762,0.41666666666666669
764,0.51666666666666672
766,0.36666666666666664
768,0.56666666666666665
770,0.5
772,0.43333333333333335
774,0.55000000000000004
776,0.53333333333333333
778,0.40000000000000002
780,0.40000000000000002
782,0.5
784,0.5
786,0.36666666666666664
788,0.43333333333333335
790,0.5
792,0.53333333333333333
794,0.48333333333333334
796,0.5
798,0.5
800,0.55000000000000004
802,0.5
804,0.55000000000000004
806,0.5
808,0.56666666666666665
810,0.5
812,0.56666666666666665
814,0.45000000000000001
816,0.55000000000000004
818,0.5
820,0.51666666666666672
822,0.56666666666666665
824,0.5
826,0.55000000000000004
828,0.5
830,0.46666666666666667
832,0.46666666666666667
834,0.48333333333333334
836,0.5
838,0.5
840,0.5
842,0.46666666666666667
844,0.40000000000000002
846,0.36666666666666664
848,0.53333333333333333
850,0.5
852,0.55000000000000004
854,0.5
856,0.43333333333333335
858,0.5
860,0.55000000000000004
862,0.46666666666666667
864,0.51666666666666672
866,0.59999999999999998
868,0.38333333333333336
870,0.5
872,0.51666666666666672
874,0.40000000000000002
876,0.48333333333333334
878,0.56666666666666665
880,0.5
882,0.5
884,0.5
886,0.5
888,0.48333333333333334
890,0.5
892,0.5
894,0.5
896,0.5
898,0.58333333333333337
